source_row_group,inferred_cycle,archive_hours_available,exact_fingerprint_matches,dukascopy_multi_verified,verified_cycle
0,245,6,6,True,245.0
1,245,2,2,True,
2,246,0,0,False,246.0
3,243,0,0,False,
4,247,1,1,True,
5,248,0,0,False,248.0
6,252,0,0,False,
7,249,1,1,True,249.0
8,250,0,0,False,250.0
9,250,1,1,True,
10,251,0,0,False,
11,251,1,1,True,
12,252,0,0,False,
13,253,1,1,True,
14,253,0,0,False,
15,254,0,0,False,
16,250,0,0,False,
17,255,1,1,True,255.0
18,256,0,0,False,
19,256,1,1,True,
20,257,0,0,False,257.0
21,258,0,0,False,258.0
22,258,1,1,True,258.0
23,259,0,0,False,259.0
24,259,0,0,False,
25,260,1,1,True,260.0
26,260,0,0,False,
27,261,0,0,False,
28,262,1,1,True,262.0
29,263,0,0,False,
30,263,0,0,False,263.0
31,264,1,1,True,
32,265,1,0,False,
33,265,0,0,False,
34,265,0,0,False,
35,266,0,0,False,
36,274,0,0,False,
37,267,0,0,False,268.0
38,268,1,1,True,
39,271,0,0,False,
40,269,0,0,False,
41,270,1,1,True,
42,271,0,0,False,
43,271,0,0,False,
44,271,1,0,False,
45,273,0,0,False,
46,273,1,1,True,
47,274,0,0,False,
48,274,0,0,False,
49,275,0,0,False,
50,275,1,1,True,
51,276,0,0,False,
52,277,0,0,False,
53,277,1,1,True,277.0
54,278,0,0,False,
55,278,0,0,False,
56,279,1,1,True,
57,280,0,0,False,
58,280,1,1,True,
59,281,0,0,False,
60,281,1,1,True,
61,282,0,0,False,
62,290,0,0,False,
63,283,0,0,False,
64,284,0,0,False,
65,284,0,0,False,
66,285,0,0,False,
67,286,1,1,True,
68,281,0,0,False,
69,287,0,0,False,
70,288,1,0,False,
71,288,0,0,False,288.0
72,289,0,0,False,
73,289,1,1,True,
74,290,0,0,False,
75,291,1,1,True,
76,291,0,0,False,
77,292,1,1,True,
78,293,0,0,False,
79,293,0,0,False,
80,294,0,0,False,
81,294,1,1,True,
82,295,0,0,False,
83,295,0,0,False,
84,296,1,1,True,
85,297,0,0,False,297.0
86,332,0,0,False,
87,298,1,1,True,
88,319,0,0,False,
89,299,1,1,True,
90,298,0,0,False,
91,299,0,0,False,
92,299,0,0,False,
93,300,1,1,True,300.0
94,300,0,0,False,
95,300,1,1,True,
96,301,0,0,False,
97,301,0,0,False,
98,302,1,0,False,
99,303,0,0,False,
100,304,0,0,False,
101,303,1,1,True,
102,304,0,0,False,
103,368,1,0,False,
104,314,0,0,False,
105,305,1,1,True,
106,306,0,0,False,
107,306,0,0,False,
108,307,0,0,False,
109,306,1,1,True,
110,307,1,1,True,
111,307,0,0,False,307.0
112,308,1,1,True,
113,308,0,0,False,
114,308,0,0,False,
115,308,0,0,False,
116,309,1,1,True,
117,309,1,1,True,
118,310,0,0,False,
119,309,0,0,False,
120,310,0,0,False,
121,310,0,0,False,
122,311,0,0,False,
123,311,0,0,False,
124,312,0,0,False,
125,311,1,1,True,
126,312,1,1,True,
