row_group,k,score,inside_fraction,matched_samples,start_utc,end_utc,local_best_k,local_best_score,best_alt_k,best_alt_score
0,245,0.006049732272015025,0.14685314893722534,286,2003-05-07 00:38:01.295000+00:00,2003-06-25 17:24:22.261000+00:00,245,0.006049732272015025,247,0.04041844428894438
1,245,0.0018719430753841725,0.751748263835907,286,2003-05-07 00:26:18.897000+00:00,2003-06-25 17:24:43.125000+00:00,245,0.0018719430753841725,246,0.014260538729535019
2,246,0.004060858282191873,0.10139860212802887,286,2003-07-01 00:01:03.297000+00:00,2003-07-31 23:50:56.275000+00:00,246,0.004060858282191873,242,0.014691884247292683
3,247,0.02852230957801025,0.3076923191547394,286,2003-08-14 10:29:00.822000+00:00,2003-10-03 03:29:45.397000+00:00,243,0.023335490899585858,243,0.023335490899585858
4,247,0.004806141262404303,0.08219178020954132,292,2003-09-01 00:00:04.305000+00:00,2003-09-30 23:57:53.792000+00:00,247,0.004806141262404303,252,0.016737082113800806
5,248,0.004994739736954303,0.35333332419395447,300,2003-10-03 04:00:04.932000+00:00,2003-11-21 19:59:42.589000+00:00,248,0.004994739736954303,247,0.021239158098562094
6,248,0.015253803631814312,0.0347222238779068,288,2003-10-03 03:49:13.253000+00:00,2003-11-21 20:22:57.123000+00:00,252,0.009067768679207737,252,0.009067768679207737
7,249,0.0008770085156413498,0.7525423765182495,295,2003-12-01 01:01:03.807000+00:00,2003-12-31 23:49:57.057000+00:00,249,0.0008770085156413498,254,0.01027280252266903
8,250,0.017820791745282224,0.18248175084590912,274,2004-01-11 22:00:01.395000+00:00,2004-02-28 14:53:37.290000+00:00,250,0.017820791745282224,249,0.019908907491394883
9,250,0.0012829449167733836,0.7147766351699829,291,2004-01-11 04:58:14.814000+00:00,2004-02-27 21:58:57.872000+00:00,250,0.0012829449167733836,254,0.013592478964795186
10,251,0.004447858470718017,0.20000000298023224,300,2004-03-01 01:00:00.315000+00:00,2004-03-31 23:59:58.235000+00:00,251,0.004447858470718017,249,0.011122346959586934
11,251,0.007171050976100294,0.5413534045219421,266,2004-02-29 06:46:18.344000+00:00,2004-04-18 23:37:50.465000+00:00,251,0.007171050976100294,254,0.023766585176278294
12,252,0.006009540437852354,0.07876712083816528,292,2004-05-03 00:00:02.961000+00:00,2004-05-31 23:59:58.128000+00:00,252,0.006009540437852354,247,0.018087640966229696
