row_group,rank,score,range_err,close_err,inside,found,k,start,end
0,0,0.003408432507440915,0.0025074030588210054,0.006006862990799397,0.2,10,245,2003-05-07 00:00:00+00:00,2003-06-25 00:00:00+00:00
0,1,0.041033990045650906,0.03521648118122066,0.038783392429535005,0.0,8,247,2003-08-14 00:00:00+00:00,2003-10-03 00:00:00+00:00
0,2,0.04568608069878176,0.03934794938944908,0.042254208728884565,0.0,8,246,2003-06-25 00:00:00+00:00,2003-08-14 00:00:00+00:00
0,3,0.04707422553879344,0.03970646312233906,0.049118416109695875,0.0,8,243,2003-01-27 00:00:00+00:00,2003-03-18 00:00:00+00:00
0,4,0.05620743741954351,0.0483422187371858,0.0524347912157181,0.0,6,242,2002-12-08 00:00:00+00:00,2003-01-27 00:00:00+00:00
1,0,0.0033918766859721778,0.001954812915231719,0.009580425138269726,0.45454545454545453,11,245,2003-05-07 00:00:00+00:00,2003-06-25 00:00:00+00:00
1,1,0.015501122897725565,0.013278236478199257,0.014819242796842057,0.3,10,246,2003-06-25 00:00:00+00:00,2003-08-14 00:00:00+00:00
1,2,0.028136403957699223,0.023977917721929615,0.0277232415717974,0.0,7,243,2003-01-27 00:00:00+00:00,2003-03-18 00:00:00+00:00
1,3,0.02979896513181106,0.025454483855798838,0.02896320850674813,0.16666666666666666,6,242,2002-12-08 00:00:00+00:00,2003-01-27 00:00:00+00:00
1,4,0.057782994582223295,0.05007164749543822,0.05140898057856714,0.0,8,244,2003-03-18 00:00:00+00:00,2003-05-07 00:00:00+00:00
2,0,0.006800235970501535,0.005777149153269445,0.006820578781547268,0.09090909090909091,11,246,2003-07-01 00:00:00+00:00,2003-07-31 00:00:00+00:00
2,1,0.01538844449286554,0.012786275606003534,0.017347792579080038,0.3333333333333333,6,242,2002-12-14 00:00:00+00:00,2003-01-14 00:00:00+00:00
2,2,0.030305310419457925,0.025543625975900933,0.03174456295704661,0.3333333333333333,9,245,2003-05-12 00:00:00+00:00,2003-06-12 00:00:00+00:00
2,3,0.07275794177479433,0.06286882202345441,0.06592746500893279,0.0,10,247,2003-08-19 00:00:00+00:00,2003-09-19 00:00:00+00:00
2,4,0.07406130164287139,0.06377712673789845,0.06856116603315295,0.0,7,244,2003-03-23 00:00:00+00:00,2003-04-23 00:00:00+00:00
3,0,0.024820686781587158,0.02104089459202763,0.025198614597063514,0.18181818181818182,11,247,2003-08-14 00:00:00+00:00,2003-10-03 00:00:00+00:00
3,1,0.03083759877219125,0.025952755548835405,0.03256562148903897,0.0,6,243,2003-01-27 00:00:00+00:00,2003-03-18 00:00:00+00:00
3,2,0.03114488418012313,0.026931446872818787,0.028089582048695612,0.0,8,245,2003-05-07 00:00:00+00:00,2003-06-25 00:00:00+00:00
