[STREAM] 539M rows, streaming batches on-the-fly
[STREAM] Building validation set (2048 samples)...
[STREAM] Val=2048 Buffer=29193 (2M rows read)

[TRAIN] seed=42 params=78595 lr=0.001 batch=256

[000001] 2ms | loss=2.2979 acc=0.234 ema=0.234 grad=22.02 | 2M rows val_best=0.00
[000002] 2ms | loss=1.8134 acc=0.211 ema=0.233 grad=16.40 | 2M rows val_best=0.00
[000003] 2ms | loss=1.3968 acc=0.316 ema=0.237 grad=10.10 | 2M rows val_best=0.00
[000010] 2ms | loss=1.4134 acc=0.227 ema=0.267 grad=11.30 | 2M rows val_best=0.00
[000020] 2ms | loss=1.1862 acc=0.523 ema=0.299 grad=8.54 | 2M rows val_best=0.00
[000030] 2ms | loss=1.3142 acc=0.398 ema=0.353 grad=8.31 | 2M rows val_best=0.00
[000040] 2ms | loss=1.4801 acc=0.316 ema=0.345 grad=10.47 | 2M rows val_best=0.00
[000050] 2ms | loss=1.2246 acc=0.469 ema=0.380 grad=4.38 | 2M rows val_best=0.00
[000060] 2ms | loss=1.2151 acc=0.465 ema=0.391 grad=5.59 | 2M rows val_best=0.00
[000070] 2ms | loss=1.2822 acc=0.434 ema=0.393 grad=5.68 | 2M rows val_best=0.00
[000080] 3ms | loss=1.2508 acc=0.438 ema=0.398 grad=4.32 | 2M rows val_best=0.00
[000090] 3ms | loss=1.2532 acc=0.410 ema=0.415 grad=4.88 | 2M rows val_best=0.00
[000100] 2ms | loss=1.2633 acc=0.391 ema=0.418 grad=3.66 | 2M rows val_best=0.00
[000110] 2ms | loss=1.2187 acc=0.422 ema=0.423 grad=3.72 | 2M rows val_best=0.00
[000120] 3ms | loss=1.3037 acc=0.344 ema=0.418 grad=3.19 | 4M rows val_best=0.00
[000130] 2ms | loss=1.5107 acc=0.363 ema=0.406 grad=11.67 | 4M rows val_best=0.00
[000140] 2ms | loss=1.0669 acc=0.512 ema=0.405 grad=5.54 | 4M rows val_best=0.00
[000150] 2ms | loss=1.1363 acc=0.461 ema=0.398 grad=4.49 | 4M rows val_best=0.00
[000160] 2ms | loss=1.2931 acc=0.367 ema=0.392 grad=4.61 | 4M rows val_best=0.00
[000170] 2ms | loss=1.3340 acc=0.398 ema=0.394 grad=8.40 | 4M rows val_best=0.00
[000180] 2ms | loss=1.1784 acc=0.453 ema=0.401 grad=4.54 | 4M rows val_best=0.00
[000190] 2ms | loss=1.1041 acc=0.488 ema=0.414 grad=2.51 | 4M rows val_best=0.00
[000200] 2ms | loss=1.1677 acc=0.367 ema=0.411 grad=2.45 | 4M rows val_best=0.00
[000210] 2ms | loss=1.1512 acc=0.391 ema=0.410 grad=8.56 | 4M rows val_best=0.00
[000220] 2ms | loss=1.2262 acc=0.410 ema=0.404 grad=6.07 | 4M rows val_best=0.00
[000230] 2ms | loss=1.1560 acc=0.438 ema=0.417 grad=3.54 | 4M rows val_best=0.00
[000240] 2ms | loss=1.1378 acc=0.414 ema=0.398 grad=5.84 | 6M rows val_best=0.00
[000250] 2ms | loss=1.1273 acc=0.465 ema=0.414 grad=6.16 | 6M rows val_best=0.00
[000260] 2ms | loss=1.1198 acc=0.453 ema=0.426 grad=2.98 | 6M rows val_best=0.00
[000270] 2ms | loss=1.1040 acc=0.484 ema=0.428 grad=5.01 | 6M rows val_best=0.00
[000280] 2ms | loss=1.1082 acc=0.383 ema=0.428 grad=5.27 | 6M rows val_best=0.00
[000290] 2ms | loss=1.0807 acc=0.422 ema=0.445 grad=4.23 | 6M rows val_best=0.00
[000300] 2ms | loss=1.1731 acc=0.453 ema=0.450 grad=2.54 | 6M rows val_best=0.00
[000310] 3ms | loss=1.0763 acc=0.473 ema=0.453 grad=1.21 | 6M rows val_best=0.00
[000320] 2ms | loss=1.2272 acc=0.398 ema=0.454 grad=3.38 | 6M rows val_best=0.00
[000330] 2ms | loss=1.1293 acc=0.457 ema=0.457 grad=1.77 | 6M rows val_best=0.00
[000340] 2ms | loss=1.0942 acc=0.477 ema=0.460 grad=7.02 | 6M rows val_best=0.00
[000350] 2ms | loss=1.0993 acc=0.449 ema=0.467 grad=5.09 | 6M rows val_best=0.00
[000360] 2ms | loss=1.0299 acc=0.492 ema=0.469 grad=4.85 | 8M rows val_best=0.00
[000370] 2ms | loss=1.0773 acc=0.453 ema=0.467 grad=2.51 | 8M rows val_best=0.00
[000380] 3ms | loss=1.3815 acc=0.320 ema=0.451 grad=12.78 | 8M rows val_best=0.00
[000390] 3ms | loss=1.1038 acc=0.461 ema=0.456 grad=2.50 | 8M rows val_best=0.00
[000400] 3ms | loss=1.0838 acc=0.484 ema=0.458 grad=1.81 | 8M rows val_best=0.00
[000410] 2ms | loss=1.0441 acc=0.520 ema=0.467 grad=2.17 | 8M rows val_best=0.00
[000420] 2ms | loss=1.0155 acc=0.566 ema=0.468 grad=2.58 | 8M rows val_best=0.00
[000430] 2ms | loss=1.0891 acc=0.504 ema=0.456 grad=2.18 | 8M rows val_best=0.00
[000440] 2ms | loss=1.2069 acc=0.367 ema=0.441 grad=4.68 | 8M rows val_best=0.00
[000450] 2ms | loss=1.1020 acc=0.434 ema=0.441 grad=5.64 | 8M rows val_best=0.00
[000460] 2ms | loss=1.1345 acc=0.465 ema=0.441 grad=3.56 | 8M rows val_best=0.00
[000470] 2ms | loss=1.2116 acc=0.387 ema=0.440 grad=6.43 | 8M rows val_best=0.00
[000480] 2ms | loss=1.0503 acc=0.531 ema=0.451 grad=4.08 | 8M rows val_best=0.00
[000490] 2ms | loss=1.2276 acc=0.418 ema=0.452 grad=5.96 | 10M rows val_best=0.00
[000500] 2ms | loss=1.0947 acc=0.453 ema=0.442 grad=2.61 | 10M rows val_best=0.00
[000510] 2ms | loss=1.1395 acc=0.441 ema=0.446 grad=3.84 | 10M rows val_best=0.00
[000520] 2ms | loss=1.0886 acc=0.500 ema=0.462 grad=2.08 | 10M rows val_best=0.00
[000530] 2ms | loss=1.0861 acc=0.504 ema=0.473 grad=3.86 | 10M rows val_best=0.00
[000540] 2ms | loss=1.0824 acc=0.492 ema=0.481 grad=3.05 | 10M rows val_best=0.00
[000550] 2ms | loss=1.0409 acc=0.512 ema=0.480 grad=3.40 | 10M rows val_best=0.00
[000560] 2ms | loss=1.1756 acc=0.426 ema=0.471 grad=2.83 | 10M rows val_best=0.00
[000570] 2ms | loss=1.0902 acc=0.488 ema=0.490 grad=3.39 | 10M rows val_best=0.00
[000580] 2ms | loss=1.0724 acc=0.484 ema=0.492 grad=3.90 | 10M rows val_best=0.00
[000590] 2ms | loss=1.0589 acc=0.523 ema=0.484 grad=5.39 | 10M rows val_best=0.00
[000600] 2ms | loss=1.0535 acc=0.512 ema=0.490 grad=2.85 | 10M rows val_best=0.00
[000610] 2ms | loss=1.0193 acc=0.551 ema=0.507 grad=3.38 | 12M rows val_best=0.00
[000620] 2ms | loss=1.0276 acc=0.523 ema=0.499 grad=3.32 | 12M rows val_best=0.00
[000630] 2ms | loss=1.0698 acc=0.508 ema=0.503 grad=2.08 | 12M rows val_best=0.00
[000640] 2ms | loss=1.0911 acc=0.480 ema=0.498 grad=3.50 | 12M rows val_best=0.00
[000650] 2ms | loss=0.9752 acc=0.570 ema=0.524 grad=3.86 | 12M rows val_best=0.00
[000660] 2ms | loss=1.0943 acc=0.492 ema=0.517 grad=2.77 | 12M rows val_best=0.00
[000670] 2ms | loss=0.9866 acc=0.590 ema=0.518 grad=1.49 | 12M rows val_best=0.00
[000680] 2ms | loss=1.0592 acc=0.555 ema=0.536 grad=3.08 | 12M rows val_best=0.00
[000690] 2ms | loss=1.0683 acc=0.516 ema=0.543 grad=2.93 | 12M rows val_best=0.00
[000700] 2ms | loss=1.0239 acc=0.535 ema=0.537 grad=3.41 | 12M rows val_best=0.00
[000710] 3ms | loss=1.1100 acc=0.477 ema=0.533 grad=4.59 | 12M rows val_best=0.00
[000720] 2ms | loss=1.0866 acc=0.492 ema=0.532 grad=3.95 | 12M rows val_best=0.00
[000730] 2ms | loss=1.0704 acc=0.562 ema=0.533 grad=2.18 | 14M rows val_best=0.00
[000740] 2ms | loss=0.9895 acc=0.570 ema=0.538 grad=4.03 | 14M rows val_best=0.00
[000750] 2ms | loss=1.1875 acc=0.422 ema=0.535 grad=7.11 | 14M rows val_best=0.00
[000760] 3ms | loss=1.5004 acc=0.500 ema=0.528 grad=53.39 | 14M rows val_best=0.00
[000770] 2ms | loss=1.0953 acc=0.496 ema=0.520 grad=4.68 | 14M rows val_best=0.00
[000780] 2ms | loss=1.0701 acc=0.504 ema=0.529 grad=2.24 | 14M rows val_best=0.00
[000790] 2ms | loss=1.0711 acc=0.465 ema=0.522 grad=4.52 | 14M rows val_best=0.00
[000800] 2ms | loss=1.0737 acc=0.500 ema=0.517 grad=2.68 | 14M rows val_best=0.00
[000810] 2ms | loss=1.1039 acc=0.473 ema=0.513 grad=4.37 | 14M rows val_best=0.00
