timeframe,symbol,source_file,rows,start,end,large_gap_count,large_gap_pct,exclude,reason
5m,ACWI,C:\Users\marti\from\data\cache\yahoo\ACWI_5m_60d.csv,5654,2026-03-25 12:00:00+00:00,2026-06-18 14:38:08+00:00,560,9.906244471961791,True,large internal gaps >0.5%
5m,BTC-USD,C:\Users\marti\from\data\cache\yahoo\BTC_USD_5m_60d.csv,17146,2026-04-20 00:00:00+00:00,2026-06-18 14:38:41+00:00,1,0.005832604257801108,False,
5m,CL=F,C:\Users\marti\from\data\cache\yahoo\CL_F_5m_60d.csv,13562,2026-04-08 04:00:00+00:00,2026-06-18 03:12:58+00:00,50,0.3687043728338618,False,
5m,DBC,C:\Users\marti\from\data\cache\yahoo\DBC_5m_60d.csv,7522,2026-03-25 08:30:00+00:00,2026-06-18 14:37:32+00:00,450,5.983246908655763,True,large internal gaps >0.5%
5m,DIA,C:\Users\marti\from\data\cache\yahoo\DIA_5m_60d.csv,10961,2026-03-25 08:00:00+00:00,2026-06-18 14:38:03+00:00,119,1.0857664233576643,True,large internal gaps >0.5%
5m,DX-Y.NYB,C:\Users\marti\from\data\cache\yahoo\DX_Y_NYB_5m_60d.csv,13422,2026-04-08 04:00:00+00:00,2026-06-18 03:13:01+00:00,52,0.38745249981372476,False,
5m,EEM,C:\Users\marti\from\data\cache\yahoo\EEM_5m_60d.csv,9496,2026-03-25 08:00:00+00:00,2026-06-18 14:38:34+00:00,191,2.0115850447604005,True,large internal gaps >0.5%
5m,EFA,C:\Users\marti\from\data\cache\yahoo\EFA_5m_60d.csv,7462,2026-03-25 08:45:00+00:00,2026-06-18 14:38:42+00:00,440,5.8973327972121705,True,large internal gaps >0.5%
5m,ETH-USD,C:\Users\marti\from\data\cache\yahoo\ETH_USD_5m_60d.csv,17146,2026-04-20 00:00:00+00:00,2026-06-18 14:38:46+00:00,1,0.005832604257801108,False,
5m,EURUSD=X,C:\Users\marti\from\data\cache\yahoo\EURUSD_X_5m_60d.csv,16705,2026-03-27 00:00:00+00:00,2026-06-18 03:22:48+00:00,14,0.08381226053639847,False,
