timeframe,symbol,source_file,rows,start,end,null_close_count,duplicate_timestamp_count,missing_bar_pct,exclude,reason
5m,UNG,C:\Users\marti\from\data\cache\yahoo\UNG_5m_60d.csv,10670,2026-03-25 08:00:00+00:00,2026-06-18 14:38:18+00:00,0,0,0.0,False,
5m,USO,C:\Users\marti\from\data\cache\yahoo\USO_5m_60d.csv,11213,2026-03-25 08:00:00+00:00,2026-06-18 14:38:06+00:00,0,0,0.0,False,
5m,CL=F,C:\Users\marti\from\data\cache\yahoo\CL_F_5m_60d.csv,13562,2026-04-08 04:00:00+00:00,2026-06-18 03:12:58+00:00,0,0,0.0,False,
5m,XLF,C:\Users\marti\from\data\cache\yahoo\XLF_5m_60d.csv,10810,2026-03-25 08:00:00+00:00,2026-06-18 14:38:23+00:00,0,0,0.0,False,
5m,XLV,C:\Users\marti\from\data\cache\yahoo\XLV_5m_60d.csv,10066,2026-03-25 08:15:00+00:00,2026-06-18 14:38:26+00:00,0,0,0.0,False,
5m,XLY,C:\Users\marti\from\data\cache\yahoo\XLY_5m_60d.csv,8689,2026-03-25 08:00:00+00:00,2026-06-18 14:38:31+00:00,0,0,0.0,False,
5m,XLK,C:\Users\marti\from\data\cache\yahoo\XLK_5m_60d.csv,11020,2026-03-25 08:00:00+00:00,2026-06-18 14:38:28+00:00,0,0,0.0,False,
5m,SI=F,C:\Users\marti\from\data\cache\yahoo\SI_F_5m_60d.csv,13604,2026-04-08 04:00:00+00:00,2026-06-18 03:12:33+00:00,0,0,0.0,False,
5m,TLT,C:\Users\marti\from\data\cache\yahoo\TLT_5m_60d.csv,11305,2026-03-24 08:00:00+00:00,2026-06-17 23:47:25+00:00,0,0,0.0,False,
5m,IEF,C:\Users\marti\from\data\cache\yahoo\IEF_5m_60d.csv,7320,2026-03-25 08:10:00+00:00,2026-06-18 14:38:05+00:00,0,0,0.0,False,
5m,ZB=F,C:\Users\marti\from\data\cache\yahoo\ZB_F_5m_60d.csv,13426,2026-04-08 04:00:00+00:00,2026-06-18 03:13:03+00:00,0,0,0.0,False,
5m,USDJPY=X,C:\Users\marti\from\data\cache\yahoo\USDJPY_X_5m_60d.csv,16771,2026-03-27 00:00:00+00:00,2026-06-18 14:38:49+00:00,0,0,0.0,False,
5m,DX-Y.NYB,C:\Users\marti\from\data\cache\yahoo\DX_Y_NYB_5m_60d.csv,13422,2026-04-08 04:00:00+00:00,2026-06-18 03:13:01+00:00,0,0,0.0,False,
5m,EURUSD=X,C:\Users\marti\from\data\cache\yahoo\EURUSD_X_5m_60d.csv,16705,2026-03-27 00:00:00+00:00,2026-06-18 03:22:48+00:00,0,0,0.0,False,
5m,BTC-USD,C:\Users\marti\from\data\cache\yahoo\BTC_USD_5m_60d.csv,17146,2026-04-20 00:00:00+00:00,2026-06-18 14:38:41+00:00,0,0,0.0,False,
5m,ETH-USD,C:\Users\marti\from\data\cache\yahoo\ETH_USD_5m_60d.csv,17146,2026-04-20 00:00:00+00:00,2026-06-18 14:38:46+00:00,0,0,0.0,False,
