model,leader,entry_time,exit_time,direction,xau_entry,xau_exit,gross_per_oz,cost_per_oz,ounces,notional,pnl,pnl_per_dollar,desired_notional,equity
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-05-22 18:00:00+00:00,2026-05-22 19:30:00,-1,4515.505,4508.1865,7.318500000000313,1.1615264270613301,110.7295861703176,500000.0,681.7591357931152,0.0013635182715862305,500000.0,681.7591357931152
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-05-22 18:05:00+00:00,2026-05-22 19:35:00,-1,4515.58,4509.4915,6.08849999999984,1.1068447121820886,110.72774704467643,500000.0,551.6074665732589,0.0011032149331465177,500000.0,1233.366602366374
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-05-22 18:10:00+00:00,2026-05-22 19:40:00,-1,4513.93,4509.75,4.180000000000291,1.1393910574875283,110.76822192634799,500000.0,336.80284613549196,0.0006736056922709839,500000.0,1570.169448501866
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-05-22 18:15:00+00:00,2026-05-22 19:45:00,-1,4515.056500000001,4507.601500000001,7.454999999999927,1.0738372268274454,110.74058541681592,500000.0,706.6537011411133,0.0014133074022822266,500000.0,2276.8231496429794
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-05-22 18:20:00+00:00,2026-05-22 19:50:00,-1,4516.59,4507.7835,8.806500000000597,0.9941223300971032,110.70298610234713,500000.0,864.8535366176134,0.0017297070732352267,500000.0,3141.6766862605928
IEF_divergence_follow_w24_q0.55_ny_h30_cost2.0,IEF,2026-05-22 18:00:00+00:00,2026-05-22 20:30:00,1,4515.505,4507.13,-8.375,1.1615264270613301,110.7295861703176,500000.0,-1055.9756247707987,-0.0021119512495415974,500000.0,2085.701061489794
IEF_divergence_follow_w24_q0.55_ny_h30_cost2.0,IEF,2026-05-22 18:05:00+00:00,2026-05-22 20:45:00,1,4515.58,4507.0365,-8.543499999999767,1.1068447121820886,110.72774704467643,500000.0,-1068.5609281844033,-0.0021371218563688067,500000.0,1017.1401333053907
IEF_divergence_follow_w24_q0.55_ny_h30_cost2.0,IEF,2026-05-22 18:10:00+00:00,2026-05-22 20:55:00,1,4513.93,4509.64,-4.289999999999964,1.1393910574875283,110.76822192634799,500000.0,-601.4039935807036,-0.0012028079871614073,500000.0,415.73613972468706
IEF_divergence_follow_w24_q0.55_ny_h30_cost2.0,IEF,2026-05-22 18:15:00+00:00,2026-05-26 08:00:00,1,4515.056500000001,4535.8815,20.824999999999818,1.0738372268274454,110.74058541681592,500000.0,2187.25532816393,0.00437451065632786,500000.0,2602.991467888617
IEF_divergence_follow_w24_q0.55_ny_h30_cost2.0,IEF,2026-05-22 18:20:00+00:00,2026-05-26 08:05:00,1,4516.59,4533.094999999999,16.5049999999992,0.9941223300971032,110.70298610234713,500000.0,1717.1004751263781,0.0034342009502527564,500000.0,4320.091943014995
VXX_volz_follow_w48_q0.75_all_h30_cost2.0,VXX,2026-05-22 19:30:00+00:00,2026-05-26 09:00:00,1,4508.1865,4524.639999999999,16.45349999999962,1.2238383685801106,110.90934237081807,500000.0,1689.1117560708183,0.0033782235121416365,500000.0,6009.203699085813
VXX_volz_follow_w48_q0.75_all_h30_cost2.0,VXX,2026-05-22 19:35:00+00:00,2026-05-26 09:05:00,1,4509.4915,4523.504999999999,14.013499999999112,1.303580916744676,110.87724635915158,500000.0,1409.2408293988842,0.0028184816587977684,500000.0,7418.444528484697
