model,leader,entry_time,exit_time,direction,xau_entry,xau_exit,gross_per_oz,cost_per_oz,ounces,notional,pnl,pnl_per_dollar,desired_notional,equity
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-24 13:10:00+00:00,2026-03-24 15:25:00,1,4378.26,4412.91,34.649999999999636,1.9192111800275498,114.20061851054984,500000.0,3737.876327579002,0.007475752655158004,500000.0,3737.876327579002
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-24 13:55:00+00:00,2026-03-24 15:55:00,1,4381.7335,4411.68,29.946500000000015,2.1590823219294726,114.11008907775883,500000.0,3170.8247064855204,0.006341649412971041,500000.0,6908.701034064523
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 13:55:00+00:00,2026-03-25 18:25:00,1,4544.87,4552.0,7.130000000000109,1.3135735245222382,110.01414781940957,500000.0,639.88920205395,0.0012797784041079,500000.0,7548.590236118473
XLK_volz_fade_w48_q0.75_all_h30_cost2.0,XLK,2026-03-25 14:00:00+00:00,2026-03-25 18:30:00,1,4545.585,4556.675,11.090000000000146,1.3724924778498744,109.99684309060329,500000.0,1068.8951501457207,0.002137790300291441,500000.0,8617.485386264194
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 14:00:00+00:00,2026-03-25 18:30:00,1,4545.585,4556.675,11.090000000000146,1.3724924778498744,109.99684309060329,500000.0,1068.8951501457207,0.002137790300291441,500000.0,9686.380536409915
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 14:05:00+00:00,2026-03-25 18:35:00,1,4550.965,4550.075,-0.8900000000003274,1.3351303519255524,109.86680846809412,500000.0,-244.46797019158348,-0.000488935940383167,500000.0,9441.912566218332
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 14:10:00+00:00,2026-03-25 18:40:00,1,4553.67,4549.265,-4.404999999999745,1.3937085714836652,109.80154468813068,500000.0,-636.707158345182,-0.001273414316690364,500000.0,8805.20540787315
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 14:50:00+00:00,2026-03-25 18:50:00,1,4568.255,4541.83,-26.425000000000182,1.2406789163690488,109.45098292455215,500000.0,-3028.0357506716714,-0.006056071501343342,500000.0,5777.169657201479
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 14:25:00+00:00,2026-03-25 18:55:00,1,4562.925,4538.26,-24.664999999999964,1.3032875697189805,109.57883375247236,500000.0,-2845.574666438627,-0.005691149332877254,500000.0,2931.594990762852
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 16:00:00+00:00,2026-03-25 19:00:00,1,4558.95,4533.54,-25.409999999999854,1.260571441831911,109.67437677535398,500000.0,-2925.078301125453,-0.005850156602250906,500000.0,6.51668963739894
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 16:05:00+00:00,2026-03-25 19:05:00,1,4560.435,4503.795,-56.64000000000033,1.3190259419958195,109.63866385553132,500000.0,-6354.550162648535,-0.01270910032529707,500000.0,-6348.033473011135
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 16:10:00+00:00,2026-03-25 19:10:00,1,4553.975,4509.18,-44.79500000000007,1.262511169028437,109.79419078936533,500000.0,-5056.84716857564,-0.01011369433715128,500000.0,-11404.880641586777
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 18:25:00+00:00,2026-03-25 19:55:00,1,4552.0,4531.13,-20.86999999999989,1.2943018093613534,109.84182776801406,500000.0,-2434.5674219421403,-0.004869134843884281,500000.0,-13839.448063528916
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 18:30:00+00:00,2026-03-25 20:00:00,1,4556.675,4535.5,-21.175000000000182,1.2069720367342425,109.7291336336254,500000.0,-2455.954400602898,-0.004911908801205797,500000.0,-16295.402464131814
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 19:00:00+00:00,2026-03-25 20:30:00,1,4533.54,4521.025,-12.515000000000327,1.283623456302106,110.28908976208437,500000.0,-1521.837620965342,-0.003043675241930684,500000.0,-17817.240085097157
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 19:05:00+00:00,2026-03-25 20:35:00,1,4503.795,4504.015,0.22000000000025466,1.2522470269462265,111.01748636427723,500000.0,-114.59747023854014,-0.00022919494047708028,500000.0,-17931.837555335696
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 18:40:00+00:00,2026-03-25 20:40:00,1,4549.265,4504.685,-44.57999999999993,1.2496423853816594,109.90786423740977,500000.0,-5037.038113341559,-0.01007407622668312,500000.0,-22968.875668677254
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 19:10:00+00:00,2026-03-25 20:40:00,1,4509.18,4504.685,-4.494999999999891,1.2876635474466553,110.88490590306884,500000.0,-641.2101033277165,-0.001282420206655433,500000.0,-23610.08577200497
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 18:50:00+00:00,2026-03-25 20:50:00,1,4541.83,4504.025,-37.80500000000029,1.256107415299058,110.08778399896077,500000.0,-4300.150755895679,-0.008600301511791359,500000.0,-27910.23652790065
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 18:55:00+00:00,2026-03-25 22:00:00,1,4538.26,4521.51,-16.75,1.3251420828327385,110.17438401501897,500000.0,-1991.4176449600438,-0.003982835289920088,500000.0,-29901.654172860697
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 19:55:00+00:00,2026-03-25 22:30:00,1,4531.13,4520.49,-10.640000000000327,1.2925165438329138,110.34774989903181,500000.0,-1316.72635124497,-0.00263345270248994,500000.0,-31218.38052410567
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 20:00:00+00:00,2026-03-25 22:35:00,1,4535.5,4525.57,-9.930000000000291,1.3521567499995093,110.24142872891633,500000.0,-1243.7610792635653,-0.0024875221585271305,500000.0,-32462.141603369233
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 20:30:00+00:00,2026-03-25 23:05:00,1,4521.025,4507.58,-13.444999999999709,1.3125686445573874,110.5943895466183,500000.0,-1632.1042954371073,-0.003264208590874215,500000.0,-34094.24589880634
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 20:35:00+00:00,2026-03-25 23:10:00,1,4504.015,4508.97,4.954999999999927,1.3198180877545425,111.0120636809602,500000.0,403.54904593405934,0.0008070980918681187,500000.0,-33690.69685287228
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 20:40:00+00:00,2026-03-25 23:15:00,1,4504.685,4506.6015,1.9164999999993597,1.3193683406944736,110.99555240821499,500000.0,66.27895838497986,0.00013255791676995972,500000.0,-33624.4178944873
XLC_volz_follow_w36_q0.55_ny_h30_cost2.0,XLC,2026-03-25 18:30:00+00:00,2026-03-25 23:20:00,-1,4556.675,4503.355,53.32000000000062,1.2069720367342425,109.7291336336254,500000.0,5718.317409434113,0.011436634818868226,500000.0,-27906.100485053186
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 20:50:00+00:00,2026-03-25 23:30:00,1,4504.025,4505.94,1.9149999999999636,1.3893209437202927,111.01181720794179,500000.0,58.356587305762176,0.00011671317461152436,500000.0,-27847.743897747423
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 22:00:00+00:00,2026-03-25 23:40:00,1,4521.51,4494.95,-26.5600000000004,3.8549457546775776,110.58252663380154,500000.0,-3363.3615489823064,-0.0067267230979646125,500000.0,-31211.10544672973
XLC_volz_follow_w36_q0.55_ny_h30_cost2.0,XLC,2026-03-25 18:35:00+00:00,2026-03-25 23:50:00,-1,4550.075,4495.78,54.29500000000007,1.2626982242710758,109.88829854452949,500000.0,5827.62941003489,0.01165525882006978,500000.0,-25383.47603669484
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-25 22:30:00+00:00,2026-03-26 08:30:00,1,4520.49,4438.21,-82.27999999999975,2.078221380607959,110.60747839282911,500000.0,-9330.65014861306,-0.01866130029722612,500000.0,-34714.1261853079
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-25 22:35:00+00:00,2026-03-26 08:35:00,1,4525.57,4433.86,-91.71000000000004,1.8006941204518483,110.48332033312931,500000.0,-10331.371973083158,-0.020662743946166316,500000.0,-45045.498158391056
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 08:05:00+00:00,2026-03-26 11:05:00,1,4453.04,4442.4635,-10.576500000000124,1.9771120774933457,112.28284497781291,500000.0,-1409.5552788087991,-0.002819110557617598,500000.0,-46455.05343719986
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 08:10:00+00:00,2026-03-26 11:10:00,1,4445.205,4442.0885,-3.1165000000000873,1.9229358613223169,112.48075173135997,500000.0,-566.8395339835176,-0.0011336790679670353,500000.0,-47021.89297118338
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 08:15:00+00:00,2026-03-26 11:15:00,1,4445.595,4447.585,1.9899999999997817,2.000696326072286,112.47088409987863,500000.0,-1.203025249995149,-2.4060504999902982e-06,500000.0,-47023.095996433374
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 08:20:00+00:00,2026-03-26 11:20:00,1,4431.935,4447.7485,15.813499999999294,1.9919032579548204,112.81753906589333,500000.0,1559.3185303986263,0.0031186370607972527,500000.0,-45463.77746603475
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 08:25:00+00:00,2026-03-26 11:25:00,1,4428.49,4443.3865,14.896499999999833,1.9858104443365403,112.90530180716226,500000.0,1457.6853008207418,0.0029153706016414836,500000.0,-44006.09216521401
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 08:30:00+00:00,2026-03-26 11:30:00,1,4438.21,4448.42,10.210000000000036,1.978403644176224,112.65803105305967,500000.0,927.3554378706519,0.001854710875741304,500000.0,-43078.736727343356
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 08:35:00+00:00,2026-03-26 11:35:00,1,4433.86,4449.33,15.470000000000255,1.8921363450549236,112.768558321643,500000.0,1531.1561094560193,0.0030623122189120384,500000.0,-41547.58061788734
VXX_volz_follow_w48_q0.75_all_h30_cost2.0,VXX,2026-03-26 08:25:00+00:00,2026-03-26 11:55:00,1,4428.49,4423.29,-5.199999999999818,1.9858104443365403,112.90530180716226,500000.0,-811.3160969468553,-0.0016226321938937105,500000.0,-42358.89671483419
VXX_volz_follow_w48_q0.75_all_h30_cost2.0,VXX,2026-03-26 08:30:00+00:00,2026-03-26 12:00:00,1,4438.21,4425.745,-12.465000000000146,1.978403644176224,112.65803105305967,500000.0,-1627.1654162574966,-0.0032543308325149933,500000.0,-43986.06213109169
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-26 11:05:00+00:00,2026-03-26 12:35:00,-1,4442.4635,4444.9535,-2.4899999999997817,1.8896986147536097,112.55016501542444,500000.0,-492.93580180832004,-0.00098587160361664,500000.0,-44478.99793290001
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 11:10:00+00:00,2026-03-26 14:10:00,1,4442.0885,4446.51,4.421500000000378,1.8128999252851081,112.55966647220109,500000.0,293.62315436930965,0.0005872463087386193,500000.0,-44185.374778530706
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 11:15:00+00:00,2026-03-26 14:15:00,1,4447.585,4455.34,7.755000000000109,1.9358085340217772,112.4205608212097,500000.0,654.1967681312816,0.0013083935362625631,500000.0,-43531.178010399424
IEF_divergence_follow_w24_q0.55_ny_h30_cost2.0,IEF,2026-03-25 20:40:00+00:00,2026-03-26 14:15:00,1,4504.685,4455.34,-49.345000000000255,1.3193683406944736,110.99555240821499,500000.0,-5623.51955138869,-0.01124703910277738,500000.0,-49154.69756178811
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 11:20:00+00:00,2026-03-26 14:20:00,1,4447.7485,4458.6915,10.943000000000211,1.9596730643256652,112.41642822205438,500000.0,1009.8735276595054,0.0020197470553190108,500000.0,-48144.82403412861
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 11:25:00+00:00,2026-03-26 14:25:00,1,4443.3865,4459.21,15.823500000000422,1.867298742691856,112.52678559472601,500000.0,1570.4464665980067,0.0031408929331960132,500000.0,-46574.3775675306
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 11:30:00+00:00,2026-03-26 14:30:00,1,4448.42,4475.1485,26.728500000000167,1.8710628415000563,112.39945868420698,500000.0,2793.9624808921044,0.005587924961784209,500000.0,-43780.415086638495
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 11:35:00+00:00,2026-03-26 14:35:00,1,4449.33,4468.9135,19.58349999999973,1.936362523287404,112.37647016517094,500000.0,1983.123018152433,0.003966246036304866,500000.0,-41797.292068486066
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 11:55:00+00:00,2026-03-26 14:55:00,1,4423.29,4465.2285,41.938500000000204,1.908495160035491,113.03803277650799,500000.0,4524.912999143704,0.009049825998287409,500000.0,-37272.379069342365
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-26 12:00:00+00:00,2026-03-26 15:00:00,1,4425.745,4459.84,34.095000000000255,1.9444510893923983,112.9753295772802,500000.0,3632.2188592663892,0.007264437718532779,500000.0,-33640.16021007598
XLK_volz_fade_w48_q0.75_all_h30_cost2.0,XLK,2026-03-26 12:35:00+00:00,2026-03-26 16:05:00,1,4444.9535,4439.76,-5.193499999999403,1.865284401749158,112.48711600695036,500000.0,-794.0222998675422,-0.0015880445997350843,500000.0,-34434.18250994352
