model,leader,entry_time,exit_time,direction,xau_entry,xau_exit,gross_per_oz,cost_per_oz,ounces,notional,pnl,equity
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-24 13:10:00+00:00,2026-03-24 15:25:00,1,4378.26,4412.91,34.649999999999636,1.9192111800275498,114.20061851054984,500000.0,3737.876327579002,3737.876327579002
SPY_volz_fade_w36_q0.75_all_h24_cost2.0,SPY,2026-03-24 13:55:00+00:00,2026-03-24 15:55:00,1,4381.7335,4411.68,29.946500000000015,2.1590823219294726,114.11008907775883,500000.0,3170.82470648552,6908.701034064522
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 13:55:00+00:00,2026-03-25 18:25:00,1,4544.87,4552.0,7.130000000000109,1.3135735245222382,110.01414781940957,500000.0,639.8892020539499,7548.590236118472
XLK_volz_fade_w48_q0.75_all_h30_cost2.0,XLK,2026-03-25 14:00:00+00:00,2026-03-25 18:30:00,1,4545.585,4556.675,11.090000000000146,1.3724924778498744,109.99684309060329,500000.0,1068.8951501457204,8617.485386264192
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 14:00:00+00:00,2026-03-25 18:30:00,1,4545.585,4556.675,11.090000000000146,1.3724924778498744,109.99684309060329,500000.0,1068.8951501457204,9686.380536409913
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 14:05:00+00:00,2026-03-25 18:35:00,1,4550.965,4550.075,-0.8900000000003274,1.3351303519255524,109.86680846809412,500000.0,-244.46797019158348,9441.91256621833
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 14:10:00+00:00,2026-03-25 18:40:00,1,4553.67,4549.265,-4.404999999999745,1.3937085714836652,109.80154468813068,500000.0,-636.707158345182,8805.205407873149
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 14:50:00+00:00,2026-03-25 18:50:00,1,4568.255,4541.83,-26.425000000000182,1.2406789163690488,109.45098292455215,500000.0,-3028.035750671671,5777.169657201478
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 16:20:00+00:00,2026-03-25 18:50:00,1,4556.55,4541.83,-14.720000000000255,1.3096241474122188,109.73214383689414,500000.0,-1758.965022595217,4018.2046346062607
XLF_volz_fade_w48_q0.55_london_h30_cost2.0,XLF,2026-03-25 14:25:00+00:00,2026-03-25 18:55:00,1,4562.925,4538.26,-24.664999999999964,1.3032875697189805,109.57883375247236,500000.0,-2845.574666438627,1172.6299681676337
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 16:30:00+00:00,2026-03-25 19:00:00,1,4553.065,4533.54,-19.524999999999636,1.3777753511050488,109.81613484542831,500000.0,-2295.4619966006076,-1122.8320284329739
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 16:00:00+00:00,2026-03-25 19:00:00,1,4558.95,4533.54,-25.409999999999854,1.260571441831911,109.67437677535398,500000.0,-2925.0783011254525,-4047.9103295584264
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 16:35:00+00:00,2026-03-25 19:05:00,1,4559.515,4503.795,-55.720000000000255,1.3485687433448732,109.66078628976985,500000.0,-6258.184120827009,-10306.094450385435
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 16:05:00+00:00,2026-03-25 19:05:00,1,4560.435,4503.795,-56.64000000000033,1.3190259419958195,109.63866385553132,500000.0,-6354.550162648535,-16660.64461303397
XLV_volz_follow_w48_q0.65_ny_h24_cost2.0,XLV,2026-03-25 16:10:00+00:00,2026-03-25 19:10:00,1,4553.975,4509.18,-44.79500000000007,1.262511169028437,109.79419078936533,500000.0,-5056.84716857564,-21717.49178160961
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 16:40:00+00:00,2026-03-25 19:10:00,1,4556.015,4509.18,-46.835000000000036,1.4717044687397256,109.7450293732571,500000.0,-5301.420700847095,-27018.912482456704
UNG_volz_follow_w48_q0.75_all_h18_cost2.0,UNG,2026-03-25 16:45:00+00:00,2026-03-25 19:15:00,1,4552.115,4510.275,-41.840000000000146,1.3503646814434982,109.83905283587958,500000.0,-4743.988748245996,-31762.9012307027
