model,leader,entry_time,exit_time,direction,xau_entry,xau_exit,gross_per_oz,cost_per_oz,ounces,notional,pnl,pnl_per_dollar,desired_notional,equity
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2023-07-28 20:00:00+00:00,2023-07-31 13:00:00,-1,1959.31,1971.47,-12.160000000000082,0.8113922355702923,255.1918787736499,500000.0,-3310.1939549051385,-0.006620387909810277,500000.0,-3310.1939549051385
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2023-07-31 08:00:00+00:00,2023-07-31 20:00:00,-1,1953.61,1964.985,-11.375,0.6549521827426746,255.93644586176362,500000.0,-3078.903205538126,-0.006157806411076251,500000.0,-6389.097160443264
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2023-07-31 09:00:00+00:00,2023-07-31 22:00:00,-1,1956.8715,1965.645,-8.773500000000013,0.6450082653181842,255.50987890620308,500000.0,-2406.521906348525,-0.004813043812697051,500000.0,-8795.619066791789
FXI_60m_divergence_follow_w6_q0.55_all_h8_cost2.0,FXI,2023-07-31 10:00:00+00:00,2023-08-03 09:00:00,1,1958.475,1936.24,-22.2349999999999,0.6446752773253215,255.3006803763132,500000.0,-5841.196665090242,-0.011682393330180485,500000.0,-14636.81573188203
QQQ_60m_divergence_follow_w12_q0.65_all_h8_cost2.0,QQQ,2023-07-31 10:00:00+00:00,2023-08-03 09:00:00,1,1958.475,1936.24,-22.2349999999999,0.6446752773253215,255.3006803763132,500000.0,-5841.196665090242,-0.011682393330180485,500000.0,-20478.012396972274
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2023-07-31 12:00:00+00:00,2023-08-03 09:00:00,1,1965.5215,1936.24,-29.28150000000005,0.647792908668583,254.38541374388424,500000.0,-7613.575559633572,-0.015227151119267144,500000.0,-28091.587956605847
QQQ_60m_divergence_follow_w12_q0.65_all_h8_cost2.0,QQQ,2023-07-31 11:00:00+00:00,2023-08-03 10:00:00,1,1959.115,1934.4705,-24.644500000000107,0.6642727133155281,255.21727923067303,500000.0,-6459.2361125599155,-0.012918472225119831,500000.0,-34550.82406916576
QQQ_60m_divergence_follow_w12_q0.65_all_h8_cost2.0,QQQ,2023-07-31 12:00:00+00:00,2023-08-03 11:00:00,1,1965.5215,1935.1435,-30.378000000000156,0.647792908668583,254.38541374388424,500000.0,-7892.509165803767,-0.015785018331607534,500000.0,-42443.33323496953
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2023-07-31 20:00:00+00:00,2023-08-03 11:00:00,1,1964.985,1935.1435,-29.841499999999996,0.7567923386324861,254.4548686122286,500000.0,-7785.884456785289,-0.015571768913570578,500000.0,-50229.21769175481
QQQ_60m_divergence_follow_w12_q0.65_all_h8_cost2.0,QQQ,2023-07-31 20:00:00+00:00,2023-08-03 22:00:00,1,1964.985,1935.5815,-29.403499999999894,0.7567923386324861,254.4548686122286,500000.0,-7674.433224333107,-0.015348866448666214,500000.0,-57903.65091608792
